Capability,Domain,Contract,Authority,Read/Write,Production Status,Primary UI,Primary Test Evidence,Known Limitation,Release
Project identity and access,Project / Identity,project_bindings/v1,Account Again identity plus Document Again project correlation,Read and human-managed bindings,PRODUCTION,Projects and project context,test_project_truth.py plus authorization suites,Authenticated browser replay remains operational backlog,OIDA 1.0
Document governance,Document Governance,Human deliverable lifecycle contracts,Document Again,Read and explicit human write,PRODUCTION,Documents / Deliverables,test_invariants.py and deliverable suites,Generation requires human initiation and sufficient evidence,OIDA 1.0
Project Truth,Project Truth,project_truth/v1,PM Again plus QA Again plus Infra Again owner APIs,Read-only projection,PRODUCTION,Command Center / Context,test_project_truth.py,Freshness may be UNKNOWN when owners lack timestamps,OIDA 1.0
Project Attention,Project Attention,project_attention/v1,OIDA deterministic projection,Read-only projection,PRODUCTION,Command Center,test_p4.py and test_command_center.py,Partial owner truth remains unverified,OIDA 1.0
Reviewer evidence,Reviewer / Evidence,reviewer_evidence/v1,Document Again evidence and owner snapshots,Read-only projection,PRODUCTION,Deliverables Reviewer Change Brief,test_reviewer.py,One-version history is NOT_RECORDED,OIDA 1.0
Reviewer change brief,Reviewer / Evidence,reviewer_change_brief/v1,OIDA deterministic projection,Read-only projection,PRODUCTION,Deliverables Reviewer Change Brief,test_reviewer.py,Does not record a human decision,OIDA 1.0
AI Reviewer,AI,ai_reviewer_brief/v1,OIDA grounded advisory layer,Read-only advisory,DETERMINISTIC_FALLBACK_PRODUCTION,Deliverables AI Reviewer,test_reviewer.py,Production provider not configured,OIDA 1.0
Change Intelligence,Change,project_change/v1,Document Again recorded changes plus owner revision evidence,Read-only projection,PRODUCTION,History / Reviewer,test_impact.py and test_r19_cross_flow.py,Missing history remains NOT_RECORDED,OIDA 1.0
Impact relationships,Impact,impact_relationships/v1,Recorded structure and explicitly advisory AI,Read-only projection,PRODUCTION,Deliverables Change Impact,test_impact.py,Traversal is intentionally one hop,OIDA 1.0
Impact candidates,Impact,impact_candidates/v1,OIDA deterministic rules,Read-only projection,PRODUCTION,Deliverables Change Impact,test_impact.py,UNKNOWN is retained without fuzzy promotion,OIDA 1.0
Human confirmation,Impact,impact_confirmation/v1,Authenticated human decision,Explicit OIDA orchestration write,PRODUCTION,Deliverables relationship review,test_impact.py,Confirmation is context and not owner truth,OIDA 1.0
Action recommendations,Action,impact_actions/v1,OIDA safe recommendation registry,Read-only projection,PRODUCTION,Deliverables suggested actions,test_impact.py,Navigation and review only,OIDA 1.0
Controlled action routing,Action,action_route/v1,Human initiation through PM or QA owner API,Preview plus explicit write,PRODUCTION,Deliverables Controlled Owner Actions,test_action_routing.py and test_r19_cross_flow.py,Only two low-risk Wave-1 actions,OIDA 1.0
Resolution loop,Resolution,impact_resolution/v1,Owner truth evaluated by deterministic OIDA rules,Read and explicit recheck,PRODUCTION,Deliverables / History,test_impact_resolution.py and test_r19_cross_flow.py,Action success alone does not resolve,OIDA 1.0
Resolution intelligence,Resolution,resolution_intelligence/v1,OIDA deterministic projection,Read-only projection,PRODUCTION,Command Center Resolution Focus,test_resolution_intelligence.py,No SLA or autonomous remediation,OIDA 1.0
Resolution assistant,AI,resolution_intelligence_ai/v1,OIDA grounded advisory layer,Read-only advisory,DETERMINISTIC_FALLBACK_PRODUCTION,Resolution assistant API,test_resolution_intelligence.py,Production provider not configured,OIDA 1.0
Project Command Center,Command Center,project_command_center/v1,OIDA composition of authorized owner truth,Read-only projection,PRODUCTION,Project Home,test_command_center.py,Needs owner authorization for live full truth,OIDA 1.0
Project Copilot,AI,project_copilot/v1,OIDA grounded advisory layer,Read-only advisory,DETERMINISTIC_FALLBACK_PRODUCTION,Project Home Copilot,test_command_center.py,Production provider not configured,OIDA 1.0
Daily briefing,Briefing,project_briefing/v1,OIDA deterministic projection,Read plus explicit checkpoint write,PRODUCTION,Project Home Daily Briefing,test_briefing.py,Authenticated multi-device replay backlog,OIDA 1.0
Daily briefing AI,AI,project_briefing_ai/v1,OIDA grounded advisory layer,Read-only advisory,DETERMINISTIC_FALLBACK_PRODUCTION,Daily Briefing API,test_briefing.py,Production provider not configured,OIDA 1.0
Project review checkpoint,Workspace,project_review_checkpoint/v1,OIDA per-user workspace state,Explicit idempotent write,PRODUCTION,Mark Reviewed,test_briefing.py,No scheduled acknowledgement,OIDA 1.0
Portfolio Command Center,Portfolio,portfolio_command_center/v1,OIDA composition of authorized projects,Read-only projection,PRODUCTION,Projects Portfolio,test_portfolio.py,Genuine multi-project production dogfood backlog,OIDA 1.0
Portfolio briefing,Portfolio,portfolio_briefing/v1,OIDA deterministic projection,Read-only projection,PRODUCTION,Projects Portfolio,test_portfolio.py,Current production scope has one active project,OIDA 1.0
Portfolio review checkpoint,Workspace,portfolio_review_checkpoint/v1,OIDA per-user portfolio state,Explicit idempotent write,PRODUCTION,Mark Portfolio Reviewed,test_portfolio.py,Independent from project checkpoints,OIDA 1.0
Portfolio Copilot,AI,portfolio_copilot/v1,OIDA grounded scoped advisory layer,Read-only advisory,DETERMINISTIC_FALLBACK_PRODUCTION,Projects Portfolio Copilot,test_portfolio.py,Production provider not configured,OIDA 1.0
Governance and acceptance,Governance,Version-scoped signoff and gate policy contracts,Document Again and authenticated human,Explicit human write,PRODUCTION,Deliverables Governance / Sign-off,test_invariants.py plus test_reviewer.py,Flexible policy is not a universal hard lock,OIDA 1.0
Audit and provenance,Audit,Immutable audit and evidence records,Each bounded owner plus OIDA orchestration audit,Append-only writes and reads,PRODUCTION,History / evidence drill-down,test_invariants.py plus cross-flow suites,Operational log retention is platform-managed,OIDA 1.0
