Service,Domain,Capability,Owning Service Supports?,Owning API/Route,Owning UI,OIDA Backend Integration,OIDA Frontend Projection,OIDA Action Available,Real Data or Mock,Read Coverage,Write Coverage,Error Handling,Permission Handling,Status,Evidence,Required Fix
PM Again,Portfolio,Projects,YES,GET/POST /api/projects; PUT archive; DELETE,YES,YES,Context resolution,NO,REAL,PASS,N/A,PARTIAL,PASS,PARTIAL,backend/app/routers/projects.py; apps/oida-web/src/hooks/useProject.js,Expose honest PM degraded state
PM Again,Planning,Functions,YES,CRUD /api/{slug}/functions; clone/import/export,YES,YES,Planning + Functions pages,NO,REAL,PASS,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/functions.py; PlanningPage.jsx; FunctionsPage.jsx,Delegate CRUD/import/export or add scoped actions
PM Again,Planning,Tasks,YES,CRUD /api/{slug}/tasks; clone/import/export,YES,YES,Planning + Tasks pages,YES create/update/delete,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/tasks.py; TasksPage.jsx,Surface service errors and delegate clone/import/export
PM Again,Schedule,Gantt items,YES,CRUD /api/{slug}/gantt; import/export,YES,YES,Timeline page,NO,REAL,PASS,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/gantt.py; TimelinePage.jsx,Delegate schedule editing/import/export
PM Again,Schedule,Gantt annotations,YES,CRUD /api/{slug}/gantt-annotations,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/gantt_annotations.py,Project annotations or deep-link
PM Again,Schedule,Plan dates and actual overrides,YES,GET/PUT/DELETE /api/{slug}/plan-dates and actual-overrides,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/progress_matrix.py,Project progress-matrix data
PM Again,Analytics,Progress matrix/calendar/legend,YES,GET /api/{slug}/progress-matrix*,YES,YES,NO,NO,REAL,MISSING,N/A,N/A,PASS,MISSING,backend/app/routers/progress_matrix.py,Add project-level projection
PM Again,Analytics,Slippage prediction,YES,GET /api/{slug}/slippage/tasks|phases|summary,YES,YES,NO,NO,REAL,MISSING,N/A,N/A,PASS,MISSING,backend/app/routers/slippage.py,Project health projection
PM Again,Analytics,Dashboard and PM status,YES,GET /api/{slug}/dashboard and pm-status,YES,YES,Project home/planning,NO,REAL,PASS,N/A,FAIL,PASS,PARTIAL,backend/app/routers/dashboard.py; pm_status.py,Preserve outage vs empty
PM Again,Effort,Configuration and drivers,YES,GET/PUT effort-config; GET effort-drivers,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/effort.py,Delegate configuration
PM Again,Effort,Estimates,YES,calculate + CRUD /effort-estimates; import/export,YES,YES,Effort summary only,NO,REAL,PARTIAL,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/effort.py; PmEffortPage.jsx,Project estimates and honest errors
PM Again,Effort,Budget,YES,GET /api/{slug}/effort-budget,YES,YES,Effort page,NO,REAL,PASS,N/A,FAIL,PASS,PARTIAL,backend/app/routers/effort.py; PmEffortPage.jsx,Preserve unavailable state
PM Again,Resources,Resource directory,YES,CRUD /api/resources + utilization,YES,YES,Resources page,NO,REAL,PARTIAL,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/resources.py; PmResourcesPage.jsx,Add utilization/delegate maintenance
PM Again,Resources,Allocations,YES,CRUD /api/{slug}/resource-allocations,YES,YES,Resources page,NO,REAL,PASS,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/resource_allocations.py; PmResourcesPage.jsx,Scoped allocation actions or deep-link
PM Again,Work management,Board risks/issues/decisions,YES,CRUD/import/export/promote /board-items,YES,YES,Board page,YES create/promote,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/board_items.py; PmBoardPage.jsx,Update/delete and honest errors
PM Again,Knowledge,Quick notes,YES,list/create/delete/promote task/promote issue,YES,YES,Notes page,YES create,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/notes.py; PmNotesPage.jsx,Promote/delete or delegate
PM Again,Knowledge,Note pages/backlinks/tags/linking,YES,CRUD + backlinks/tags/link routes,YES,YES,Notes list/create,YES create,REAL,PARTIAL,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/note_pages.py; PmNotesPage.jsx,Expose detail/link workflows or deep-link
PM Again,Knowledge,Whiteboards,YES,CRUD /whiteboards,YES,YES,Read list only,NO,REAL,PASS,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/whiteboards.py,Deep-link editor
PM Again,Reporting,Daily/weekly/monthly/phase closure,YES,GET /reports/*,YES,YES,Reports page,YES read,REAL,PASS,N/A,PASS,PASS,COMPLETE,backend/app/routers/reports.py; PmReportsPage.jsx,None
PM Again,Governance,PM change requests,YES,CRUD impacts analysis export submit approval,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/change_requests.py,Classify as PM-owned and deep-link; do not merge with Document CR truth
PM Again,Documents,PM document workflow,YES,CRUD templates upload review signoff,YES,YES,List only,NO,REAL,PARTIAL,MISSING,FAIL,PASS,PARTIAL,backend/app/routers/documents.py,OIDA should delegate because Document Again owns governed documents
PM Again,Integration,Delivery work package intake/status,YES,POST ecosystem/delivery-work-packages; connection-status; pm-status,NO,YES,Indirect handoff context,NO,REAL,PARTIAL,N/A,PARTIAL,PASS,PARTIAL,backend/app/routers/ecosystem_intake.py,Add observable handoff status
QA Again,Portfolio,Projects,YES,CRUD/archive/quota /api/projects,YES,YES,Context resolution,NO,REAL,PASS,N/A,PARTIAL,PASS,PARTIAL,backend/app/routers/projects.py; useProject.js,Expose QA degraded state
QA Again,Test design,Suites,YES,CRUD /api/{slug}/suites,YES,YES,Suites page,YES create,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/suites.py; QaSuitesPage.jsx,Update/delete or delegate; honest errors
QA Again,Test design,Revision lifecycle,YES,create/read/publish/clone revisions,YES,YES,Suites page,YES create/publish,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/revisions.py; QaSuitesPage.jsx,Clone/detail/history projection
QA Again,Test design,Test cases and steps,YES,CRUD + CSV/XLSX import/export,YES,YES,Suites/test-cases pages,YES create/update,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/cases.py; QaSuitesPage.jsx,Delete/import/export or delegate
QA Again,Execution,Test cycles,YES,CRUD + lock/reopen,YES,YES,Cycles/runs pages,YES create,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/cycles.py; QaCyclesPage.jsx,Lock/reopen/update and honest errors
QA Again,Execution,Cycle results,YES,list/detail/update/review/history,YES,YES,Cycles page,YES update/review,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/cycle_results.py; QaCyclesPage.jsx,Project result history
QA Again,Evidence,Evidence items,YES,CRUD/archive/original + annotations,YES,YES,Evidence page is placeholder-level projection,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/evidence.py; QaEvidence.jsx,Build evidence projection and owner deep-link
QA Again,Defects,Defect register/linkage,YES,list/create/update,YES,YES,Defects page,YES create/update API; UI create,REAL,PASS,PARTIAL,FAIL,PASS,PARTIAL,backend/app/routers/defects.py; QaDefectsPage.jsx,Expose update/link metadata and errors
QA Again,Governance,QA sign-off,YES,list/create cycle signoffs,YES,YES,API only,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,backend/app/routers/signoffs.py,High-value governed action with TEST/INTERNAL classification
QA Again,Automation,Hybrid runs,YES,create/list/detail/provenance/events/checkpoint/evidence/finish,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PARTIAL,MISSING,backend/app/routers/hybrid.py; runner/src/main.ts,Project runner status and deep-link
QA Again,Automation,Runner tokens/status,PARTIAL,POST /api/runner-tokens; runner process,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PARTIAL,MISSING,backend/app/routers/runner_tokens.py; runner,Delegate admin-only token action
QA Again,Analytics,Dashboard,YES,GET /api/{slug}/dashboard,YES,YES,QA overview,NO,REAL,PASS,N/A,FAIL,PASS,PARTIAL,backend/app/routers/dashboard.py; QaPage.jsx,Honest errors
QA Again,Analytics,Reports and trends,YES,9 report endpoints,YES,YES,Reports page,YES read,REAL,PASS,N/A,PASS,PASS,COMPLETE,backend/app/routers/reports.py; QaReportsPage.jsx,None
QA Again,Export,Excel and evidence ZIP,YES,GET cycle export/excel|zip,YES,YES,API URL only; not clearly reachable,NO,REAL,PARTIAL,N/A,PARTIAL,PASS,UNREACHABLE,backend/app/routers/exports.py; api/index.js,Add reachable export controls with authenticated download
QA Again,Integration,QA request/rerun/result,YES,POST requests/rerun; GET result/status,NO,YES,Indirect only,NO,REAL,PARTIAL,MISSING,PARTIAL,PASS,PARTIAL,backend/app/routers/ecosystem_intake.py,Show handoff and rerun status where orchestrated
Infra Again,Service,Liveness,YES,GET /health,NO,BROKEN then fixed,Infra workspace indirect,NO,REAL,PASS,N/A,PASS,PASS,COMPLETE,src/infra_again/api/__init__.py; gateway _upstream_path,Fixed in this pass
Infra Again,Architecture,Design baselines,YES,list/create/get/generate/accept/request-change,YES,YES,Infra workspace list/detail,YES link only,REAL,PASS,PARTIAL,PASS,PASS,PARTIAL,flow/api.py; InfraAgainPage.jsx,Delegate design authoring and lifecycle
Infra Again,Architecture,Graph components/connections,YES,design architecture/flows/update-flow,YES,YES,React Flow projection,NO,REAL,PASS,MISSING,PASS,PASS,PARTIAL,flow/api.py; InfraAgainPage.jsx,Read is sufficient in OIDA; deep-link editing
Infra Again,Architecture,Simulation and bottlenecks,YES,POST simulate + flow state/bottlenecks routes,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,flow/api.py,Project feasibility/exception projection
Infra Again,Architecture,Feasibility assessment,YES,GET design feasibility,YES,YES,Client only; not rendered,NO,REAL,PARTIAL,N/A,N/A,PASS,UNREACHABLE,flow/api.py; api/index.js,Render feasibility summary
Infra Again,Architecture,AI-assisted generation/review,YES,ai-generate; AgainPilot review/revise/accept and provider resolution,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PARTIAL,MISSING,intelligence/againpilot_api.py,Deep-link; keep AI advisory
Infra Again,Environment,Environment matrix,YES,GET /api/v1/environments,YES,YES,Infra workspace,NO,REAL,PASS,N/A,PASS,PASS,COMPLETE,execution/phase9_api.py; InfraAgainPage.jsx,None
Infra Again,Implementation,Implementation plans/work packages/dependencies/readiness,YES,create/get/readiness/approve/request-change/handoffs,YES,YES,Client get by id only; no projection,NO,REAL,MISSING,MISSING,N/A,PASS,MISSING,implementation/api.py,Project plan/readiness projection
Infra Again,Execution,Execution packages and runs,YES,package/build/approve/execute/read status evidence verify,YES,YES,Client list/get execution-runs uses valid routes,NO,REAL,PARTIAL,MISSING,N/A,PARTIAL,PARTIAL,execution/api.py; api/index.js,Render bound execution status/evidence
Infra Again,Execution,Sandbox targets/preflight,YES,multiple sandbox target and preflight routes,YES,YES,NO,NO,REAL,MISSING,MISSING,N/A,PARTIAL,MISSING,execution/sandbox_api.py,Internal/deep-link
Infra Again,Governance,Promotions approvals verification,YES,CRUD-like promotion workflow,YES,YES,Client list only; not rendered,NO,REAL,PARTIAL,MISSING,N/A,PARTIAL,UNREACHABLE,execution/phase9_api.py,Project promotion status; owner action delegated
Infra Again,Governance,UAT and rollback,YES,UAT create/signoff; rollback plan/execute routes,YES,YES,Client list UAT only; not rendered,NO,REAL,PARTIAL,MISSING,N/A,PARTIAL,UNREACHABLE,execution/phase9_api.py,Project UAT/rollback status
Infra Again,Governance,Production readiness,YES,evaluate/list/get,YES,YES,Client list only; not rendered,NO,REAL,PARTIAL,MISSING,N/A,PASS,UNREACHABLE,execution/phase9_api.py,Project readiness projection
Infra Again,Workspace,Workspace current pointers,YES,create/list/get/set current design/plan/package,YES,YES,OIDA uses Document-owned correlation pointer instead,YES link,REAL,PARTIAL,PARTIAL,PASS,PASS,PARTIAL,execution/phase9_api.py; Document workspace_bindings,Define cross-service project binding contract to avoid parallel pointers
