"Dimension","Weight","Scoring Direction","A Reviewer Intelligence","A Evidence","B Impact Intelligence","B Evidence","C Truth Maturity","C Evidence"
"User Value","20%","Higher is better","5","Directly improves an existing review/sign-off decision point","5","Could expose downstream consequences of change","3","Improves completeness more than present user decisions"
"Workload Reduction","15%","Higher is better","5","Removes manual version comparison and evidence gathering","4","Could remove multi-service checking after relationships mature","2","Mainly shifts work into configuration and owner data stewardship"
"Decision Support","15%","Higher is better","5","Role-aware changed facts, risks, and exceptions support a concrete decision","5","Trusted impacts would strongly support replanning and readiness decisions","3","More complete inputs help decisions indirectly"
"Data Readiness","10%","Higher is better","4","Immutable snapshots, revisions, hashes, governance, exceptions, and truth exist; typed coverage is partial","2","Cross-service entity edges, common events, and representative data are incomplete","4","Known gaps and owner boundaries are understood; several need real bindings or owner semantics"
"Architecture Readiness","10%","Higher is better","4","Diff, responsibility, governance, audit, and advisory patterns exist; brief contract/audit remain","2","Document graph exists but ecosystem identity, event, coverage, and authorization contracts do not","4","Truth/binding/provenance framework exists; domain completion is owner-dependent"
"Truth Reliability","10%","Higher is better","4","Exact-version deterministic evidence is reliable if partial/unknown sections remain explicit","2","Missing edges can look like no impact and AI suggestions can appear authoritative","5","Option explicitly strengthens owner truth and honest partial states"
"Implementation Feasibility","10%","Higher means easier","4","Bounded medium slice reuses current UX and services","2","General capability is very large and requires multiple service contracts","3","C-lite is easy but broad owner readiness/binding completion is medium/large"
"Risk/Governance Safety","5%","Higher means safer","4","Human authority and exact-version sign-off already exist; AI can remain optional","2","High false-authority, hallucination, coupling, security, and coverage risk","5","Low AI risk and reinforces authority boundaries"
"Future Platform Value","5%","Higher is better","4","Creates a reusable evidence-pack and advisory audit pattern","5","Could become OIDA's cross-service intelligence foundation","4","Improves contracts required by later intelligence"
"Weighted Total","100%","SUM(score * weight)","4.50","Highest immediate evidence-backed value","3.50","Highest long-term ambition but premature","3.40","Safe foundation but weaker immediate workload benefit"
