Service,"Domain",Capability,Capability Type,"Owner Supports","Owner Read API","Owner Write/Action API","Current Truth Available","Current OIDA UI","Current OIDA Action","Primary Classification","Decision Rationale",User Value,"Frequency",Cross-Service Value,Complexity,Write Risk,Primary Roles,OIDA Surface,"Precheck Relevant",AI Future Value,"Deep Link Possible","Implementation Priority",Notes
"PM Again",Portfolio,"View project identity and lifecycle status",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Core project context without owner navigation",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA",Project Overview,NO,MEDIUM,YES,P1,"Project identity is bound; lifecycle detail is partial"
"PM Again",Portfolio,"Create, configure, archive, or delete PM project",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Specialist administration with destructive operations",LOW,RARE,LOW,HIGH,HIGH,PM; PROJECT_OWNER,"Open in PM Again",NO,LOW,YES,DEFER,"Do not duplicate project administration"
"PM Again","Planning","View workstream/function status and ownership",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Explains delivery structure and ownership",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA","Project Delivery / Planning",YES,HIGH,YES,P1,"Current Functions page exists; executive signal is partial"
"PM Again","Planning","Create, edit, clone, or delete workstreams/functions",WORKFLOW,YES,YES,YES,NO,PARTIAL,NO,C,"Structured planning editor belongs to PM",MEDIUM,WEEKLY,MEDIUM,HIGH,MEDIUM,PM,"Open in PM Again",NO,MEDIUM,YES,DEFER,"Include contextual project deep link"
"PM Again",Tasks,"View task status, due dates, owners, and blockers",READ,YES,YES,NO,PARTIAL,PRESENT,NO,A,"Answers what is late or blocked",HIGH,DAILY,HIGH,MEDIUM,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA","Project Delivery / Planning",YES,HIGH,YES,P0,"Truth currently exposes counts, not actionable task attention"
"PM Again",Tasks,Update task progress or status,ACTION,YES,YES,YES,NO,PRESENT,PRESENT,B,"Frequent bounded write with clear owner semantics",HIGH,DAILY,HIGH,LOW,MEDIUM,PM; PROJECT_OWNER,"My Actions / Project Delivery",NO,MEDIUM,YES,P1,"Owner API exists; write remains in PM"
"PM Again",Tasks,"Create, clone, delete, or bulk import tasks",WORKFLOW,YES,YES,YES,NO,PARTIAL,PARTIAL,C,"Full task authoring and bulk work duplicate PM",MEDIUM,WEEKLY,LOW,HIGH,MEDIUM,PM,"Open in PM Again",NO,LOW,YES,DEFER,"Keep only existing lightweight task status action"
"PM Again",Schedule,"View schedule and timeline status",READ,YES,YES,NO,YES,PRESENT,NO,A,"Core answer to whether delivery is on schedule",HIGH,DAILY,HIGH,LOW,LOW,"PROJECT_OWNER; PM; FYI: QA, INFRA","Project Overview / Planning",YES,HIGH,YES,P0,"Truth has EMPTY/AVAILABLE semantics; UX needs attention detail"
"PM Again",Schedule,"Edit Gantt items or bulk schedule",WORKFLOW,YES,YES,YES,NO,MISSING,NO,C,"Complex dependency-aware editor is specialist work",MEDIUM,WEEKLY,MEDIUM,HIGH,HIGH,PM,"Open in PM Again",NO,MEDIUM,YES,DEFER,"No OIDA Gantt editor"
"PM Again",Schedule,"View milestone status and next critical milestone",READ,YES,YES,NO,YES,PARTIAL,NO,A,"Executive signal needed for decisions and acceptance timing",HIGH,DAILY,HIGH,LOW,LOW,PROJECT_OWNER; PM; FYI: CUSTOMER_TECHNICAL_OWNER,Project Overview / Project Health,YES,HIGH,YES,P0,"Truth has count/status but not next milestone attention"
